Date,czech republic average allocation,czech republic average allocation (benchmark-assumed for unavailable),czech republic average allocation (zero-assumed for unavailable),czech republic benchmark
2016-10-31,3.13,0.07,0.07,0.00
2016-11-30,4.33,0.10,0.10,0.00
2016-12-31,4.14,0.19,0.19,0.00
2017-01-31,3.72,0.26,0.26,0.00
2017-02-28,3.90,0.27,0.27,0.00
2017-03-31,4.15,0.39,0.39,0.00
2017-04-30,3.18,1.43,0.52,1.09
2017-05-31,4.04,2.55,0.66,2.26
2017-06-30,3.73,3.48,0.78,3.41
2017-07-31,3.63,3.80,0.85,3.85
2017-08-31,3.35,3.71,0.70,3.81
2017-09-30,3.50,3.68,0.65,3.72
2017-10-31,3.39,3.70,0.79,3.79
2017-11-30,3.25,3.75,0.83,3.92
2017-12-31,3.41,3.76,0.79,3.87
2018-01-31,3.52,3.82,0.90,3.92
2018-02-28,3.01,3.66,0.91,3.94
2018-03-31,2.87,3.65,0.94,4.01
2018-04-30,2.59,3.75,0.72,4.20
2018-05-31,1.88,3.67,0.48,4.28
2018-06-30,2.44,3.95,0.63,4.47
2018-07-31,2.43,4.07,0.51,4.50
2018-08-31,2.52,4.22,0.64,4.80
2018-09-30,2.39,3.90,0.50,4.30
2018-10-31,2.43,3.76,0.62,4.22
2018-11-30,2.33,3.57,0.60,4.00
2018-12-31,2.52,3.67,0.64,4.06
2019-01-31,2.99,3.83,0.76,4.12
2019-02-28,3.03,3.82,0.99,4.20
2019-03-31,3.31,4.01,1.08,4.35
2019-04-30,3.40,4.05,1.19,4.40
2019-05-31,4.16,4.32,1.55,4.41
2019-06-30,3.74,4.13,1.30,4.33
2019-07-31,3.53,4.03,1.15,4.27
2019-08-31,3.49,3.81,1.06,3.95
2019-09-30,3.22,3.69,0.91,3.88
2019-10-31,3.52,3.83,0.80,3.92
2019-11-30,2.96,3.63,0.66,3.82
2019-12-31,2.92,3.53,0.60,3.69
2020-01-31,2.93,3.92,0.60,4.18
2020-02-29,3.35,4.09,0.63,4.26
2020-03-31,4.07,4.30,0.97,4.37
2020-04-30,4.08,4.47,1.11,4.63
2020-05-31,3.85,4.41,1.17,4.67
2020-06-30,3.65,4.60,1.09,5.00
2020-07-31,3.85,4.68,1.08,5.00
2020-08-31,3.94,4.33,0.97,4.46
2020-09-30,3.66,4.13,0.82,4.26
2020-10-31,3.46,3.91,0.66,4.02
2020-11-30,3.13,3.75,0.70,3.93
2020-12-31,2.99,3.61,0.72,3.81
2021-01-31,3.07,3.62,0.74,3.80
2021-02-28,3.05,3.73,0.79,3.98
2021-03-31,3.17,3.90,0.72,4.12
2021-04-30,3.32,4.04,0.81,4.27
2021-05-31,3.72,4.11,1.01,4.26
2021-06-30,3.55,3.95,0.97,4.10
2021-07-31,3.73,4.14,0.96,4.28
2021-08-31,3.74,4.28,1.01,4.48
2021-09-30,3.48,4.21,0.99,4.51
2021-10-31,3.17,4.12,0.85,4.47
2021-11-30,3.37,4.27,1.01,4.66
2021-12-31,3.34,4.34,0.90,4.72
2022-01-31,3.72,4.40,1.11,4.70
2022-02-28,4.04,4.48,1.27,4.68
2022-03-31,3.60,4.38,1.13,4.74
2022-04-30,3.56,4.30,1.01,4.60
2022-05-31,3.96,4.35,1.06,4.50
2022-06-30,4.03,4.64,1.14,4.89
2022-07-31,3.99,4.75,1.25,5.10
2022-08-31,3.87,4.57,1.33,4.94
2022-09-30,3.98,4.76,1.31,5.15
2022-10-31,4.24,4.96,1.52,5.37
2022-11-30,4.31,5.06,1.60,5.46
2022-12-31,4.35,5.08,1.82,5.55
2023-01-31,4.48,5.13,1.88,5.56
2023-02-28,4.68,5.27,2.11,5.70
2023-03-31,5.57,5.53,2.43,5.50
2023-04-30,5.79,5.69,2.61,5.61
2023-05-31,5.74,5.58,2.59,5.46
2023-06-30,5.81,5.56,2.62,5.38
2023-07-31,6.02,6.09,2.72,6.15
2023-08-31,6.41,6.27,2.69,6.18
2023-09-30,6.26,6.31,2.93,6.36
2023-10-31,5.81,6.00,2.72,6.13
2023-11-30,6.55,6.36,3.06,6.22
2023-12-31,6.25,6.26,2.92,6.27
